VCF file contains 30087 SNPs and 27 samples

	N_count	N_percent	het_count	het_percent	mean_depth
GBS_DD11	1660	11.03	1633	5.43	18.5
GBS_DD12	126	0.84	1742	5.79	31.45
GBS_DD13	676	4.49	1592	5.29	25.43
GBS_DD14	752	5.0	1680	5.58	22.84
GBS_DD15	450	2.99	3293	10.94	27.36
GBS_DD16	2258	15.01	1107	3.68	17.56
GBS_DD17	546	3.63	1151	3.83	25.17
GBS_DD2	1100	7.31	3627	12.06	20.16
GBS_DD3	2200	14.62	3116	10.36	18.17
GBS_DD5	2186	14.53	3587	11.92	18.05
GBS_DD6	5846	38.86	3394	11.28	13.79
GBS_DD7	740	4.92	4260	14.16	22.51
GBS_DD8	286	1.9	4402	14.63	28.71
GBS_DD9	2178	14.48	1365	4.54	19.56
trim50_GBS_DD18	154	1.02	169	0.56	72.78
trim50_GBS_DD20	64	0.43	657	2.18	159.66
trim50_GBS_DD21	70	0.47	602	2.0	126.65
trim50_GBS_DD22	76	0.51	1594	5.3	143.89
trim50_GBS_DD23	112	0.74	1552	5.16	80.94
trim50_GBS_DD24	84	0.56	1214	4.03	152.2
trim50_GBS_DD26	226	1.5	214	0.71	140.85
trim50_GBS_DD27	164	1.09	221	0.73	85.25
trim50_GBS_DD28	100	0.66	2880	9.57	192.14
trim50_GBS_DD30	184	1.22	3255	10.82	107.72
trim50_GBS_DD31	128	0.85	3163	10.51	139.48
trim50_GBS_DD32	154	1.02	2772	9.21	171.43
trim50_GBS_DD33	160	1.06	4123	13.7	119.63
